"Title","Href","Challenge","Solution","Outcome","Benefits","Institution"
"Electroflight: Investigating The Feasibility of Laser Cleaning of Battery Cells to Improve Efficiency, Reliability and Productivity","https://www.the-mtc.org/case-studies/electroflight-investigating-the-feasibility-of-laser-cleaning-of-battery-cells-to-improve-efficiency-reliability-and-productivity/","Electroflight, a technology and engineering services organisation specialising in bespoke aerospace battery systems, approached the mtc’s manufacturing support services (mss) team to conduct a project looking into improvements in battery cell cleaning. The business, which operates in the aerospace and defence sectors, had recently conducted a study into wire bond reliability and strength following investment into new wire bonding processes.  This research identified battery cell cleanliness as a major factor.  Electroflight recognised that its existing manual methods of cleaning battery cells were labour intensive and caused issues with variability and challenges with scalability. The mtc were tasked with identifying new cleaning methods and technologies to improve the cleaning process and subsequently enhance the wire bond weld strength and bonding strength consistency. ","Laser cleaning was identified as the most suitable cleaning process and in the first phase of the project, the mtc investigated the feasibility of laser cleaning of the battery cell to remove oxidisation and contamination.  A series of experimental trials were conducted and a total of 36 cells were laser programmed, cleaned and characterised, to assess the impact of the cleaning method on bond strength and variability. Phase two of the project focused on further optimising the cleaning process on both old and new cell batches.  The results were compared against electroflight’s existing manual wet chemistry and mechanical cleaning methods, and optimum laser cleaning parameters were established. ","Following completion of the testing, the mtc identified an optimum laser power output to achieve targeted improvements in wire bond strength.  This output resulted in a 130% increase in bond strength of the negative terminals and 40% increase for positive terminals, and a significant reduction in variability.  The optimised cleaned cells also showed significant improvement on repeatability and pull testing performance of the cells during the wire bonding process. Other factors that impacted wire bonding test results were also identified, such as variation in oxide layer thickness due to different batches of battery cells.  Following completion of the project, mss introduced electroflight to laser systems manufacturer ipg photonics to support the adoption of onsite laser technology in-line with the findings from the mtc’s study. ","None","MTC"
"Internal Finishing For Additive Manufacturing","https://www.the-mtc.org/case-studies/internal-finishing-for-additive-manufacturing/","A lack of availability and knowledge of finishing techniques for complex additively manufactured components remains a barrier for the wide scale uptake of am technology in industry. In particular, internal features in am components pose a problem as access with traditional tools is much more difficult and features without line of sight cannot be finished using conventional processes. The overall aim of this internal finishing core research project (crp) was to assess the capability of various techniques to finish a variety of internal features in an am part, and therefore aid the members in the consideration and selection of appropriate finishing processes. ","A review and down selection identifying more than 15 suitable finishing technologies. A comprehensive series of trials of the three different post processing methods down selected was conducted, on ti6al4v and alsi10mg representativecomponents. Development of a physics model to complement the abrasive flow experimental trials; iteratively refined by using the experimental data as inputs. A review and down selection identifying more than 15 suitable finishing technologies. A comprehensive series of trials of the three different post processing methods down selected was conducted, on ti6al4v and alsi10mg representativecomponents. Development of a physics model to complement the abrasive flow experimental trials; iteratively refined by using the experimental data as inputs. ","The advantages and limitations of more than 15 finishing processes have been theoretically identified through a literature review. The advantages and limitations of three finishing processes have been identified through experimental trials on various complex internal features of multiple materials. Process specific ‘design rules’ have been generated. An abrasive flow simulation that can be used to predict surface finish and process parameter requirements has been developed and validated. The advantages and limitations of more than 15 finishing processes have been theoretically identified through a literature review. The advantages and limitations of three finishing processes have been identified through experimental trials on various complex internal features of multiple materials. Process specific ‘design rules’ have been generated. An abrasive flow simulation that can be used to predict surface finish and process parameter requirements has been developed and validated. ","The production of process specific ‘design rules’ to utilise in future during the am design stage.  These can improve the finish achieved on components by tailoring to the advantages and limitations of each finishing process trialled. Experimental knowledge gained on the following finishing processes:- extrude hone abrasive flow process- rem isotropic super finishing (isf)- poligrat chemical finishing. Theoretical knowledge gained of 15+ finishing technologies suitable for internal features. The production of process specific ‘design rules’ to utilise in future during the am design stage.  These can improve the finish achieved on components by tailoring to the advantages and limitations of each finishing process trialled. Experimental knowledge gained on the following finishing processes:- extrude hone abrasive flow process- rem isotropic super finishing (isf)- poligrat chemical finishing. Theoretical knowledge gained of 15+ finishing technologies suitable for internal features. ","MTC"
"Social Distancing - The New Normal","https://www.the-mtc.org/case-studies/social-distancing-the-new-normal/","The covid-19 pandemic has had a severe impact on the uk economy, with many sectors struggling to re-start operations due to strict social distancing rules being enforced.  The implementation and adherence to these rules is a challenge for the uk construction sector, with a large number of sites struggling to operate normally due to h&s concerns.  This resulted in a 35. 2% decrease in new work, with the largest contributor to that decrease being private housing which fell by 51. 2% in quarter 2 20201. 1as we move on with the ‘new normal’ social distancing is now part of life and is expected to be in place for the foreseeable future, in accordance with government guidelines. The construction innovation hub funded project, investigated social distancing technologies that could be employed in construction, and wider industries, to assist with social distancing and so reduce the impact of the pandemic.  The technology can be utilised to help prevent and, if necessary, track outbreaks of infection, aid workers in adopting safer working practices and ultimately save lives.  By using dedicated tracking systems it is possible to offer an opportunity to the industry to enable intelligent social distancing, tracking interactions and also giving visual and audible warnings of proximity.  Due to the nature of the construction industry most tracking technologies do suffer with interference and mobile based applications are often not accurate, reliable and repeatable enough. The integration of such technologies has the chance to boost the return to work for the construction industry and be industry leading in social distancing safety.  By implementing successful social distancing technologies we can assist in helping prevent the spread of deadly viruses and save lives. ","None","None","None","MTC"
"TZUKA: Redefining Product Design and Assembly Methods to Revolutionise Durable Sports Earbuds","https://www.the-mtc.org/case-studies/tzuka-redefining-product-design-and-assembly-methods-to-revolutionise-durable-sports-earbuds/","Tzuka was founded by tom jelliffe, a keen sportsman and gym goer.  In his final year of university, with nine pairs of broken earphones between him and his gym partner, tom discovered this was a far-reaching problem.  Market research revealed that 10. 4m pairs are broken in the uk during sport every year, with £192m spent on replacement sets. With most sports earphones targeted towards runners and aerobic sports, tom spotted an opportunity to design and manufacture durable sports earbuds that are engineered to withstand use in challenging conditions.  Investigations found that product assembly methods across various brands differed very little, regardless of price, and that these methods were not resistant to impact or exposure to water. Armed with ideas and in the early stages of concept design, tom established tzuka, and sought to procure support for product design and assembly.  A former student of loughborough university, tom was introduced to the mtc’s product manufacturing incubator (pmi) by the university’s graduate enterprise hub, the studio. ","Tom approached the mtc with a brief to design and manufacture durable wireless sports earbuds, capable of taking impact as well as being totally shock, dust and waterproof to enable use during water sports, without compromising high-quality sound output. At the start of the project, the pmi team conducted a series of ideation workshops which included a detailed analysis and review of other products on the market.  This helped formed the basis of the project’s development plan. The mtc’s product design team were tasked with designing the casing and used 3d printing techniques to produce prototypes.  With durability a key usp for the earbuds, the product designs targeted an ik rating (impact protection rating) typically associated with larger products, and therefore had to adapt the design accordingly.  In doing so, the mtc worked in collaboration with newbury electronics who are responsible for the electronic layout. The product was also originally designed with a capacitive button to reduce the requirement for mechanical movement within the casing.  However, feedback from the first round of user testing found that this was difficult to use in conditions where the button’s responsiveness was compromised e. G.  Underwater or in sports where chalk is used for grip e. G.  Weightlifting/climbing.  This resulted in the requirement for a mechanical switch, so the product design was adapted ahead of a second testing phase. From our first meeting, the mtc were very engaged and passionate about the project – when it’s your own ideas being presented, this is really important.  They have been instrumental in the product design and engineering and have helped us improve and refine our product, which has enabled us to incorporate functionality that we didn’t believe would be possible. Tom jelliffe, founder and managing director - tzuka.  . ","The project is now in its final phases and the product, the tz7 armour, is set to launch in autumn 2021.  The collaboration between tzuka, the mtc, and newbury electronics, is set to result in the design and production of the first earbuds ever to have an impact resistance certification. Tz7 armour","None","MTC"
"DT Engineering: Building A Smart Access System","https://www.the-mtc.org/case-studies/dt-engineering-building-a-smart-access-system/","None","None","None","None","MTC"
"Robotic Bin Picking of Unknown Objects","https://www.the-mtc.org/case-studies/robotic-bin-picking-of-unknown-objects/","The mtc demonstrates a state of the art technique for bin picking using a trained model to find the best position to place a vacuum cup.  The mtc has shown that the model can be trained on simulated data reducing the need for labour-intensive manual data collection and labelling. Bin picking is a common handling task seen across industry where single parts must be separated from an unstructured bulk input. Traditional methods use cad data and high cost sensors to accurately identify individual parts and test a range of pre-engineered grasps for feasibility. These approaches are expensive to implement, require substantial engineering time to program, and cannot be applied to objects which are not easily represented by cad models.  Examples include objects that exhibit high variety such as food products and deformable objects. ","Reviewed and down-selected approaches from academic publications showing that neural network-based inference systems can work well for picking items unknown to the system. A neural network-based approach was implemented using pytorch machine learning framework to generalise learned behaviour to new scenes. Algorithms trained with open-source manually labelled dataset and simulated dataset. Performance testing completed using low-cost depth camera and collaborative robot system which would be affordable for many smes. ","Tested on a range of objects including sheet metal components, fruit and cosmetics containers. The models trained with manually labelled data and trained with only simulated data performed well with 92% and 94% of attempted picks being successful, respectively. Performance of the model trained on purely simulated data showed that this approach is a good solution to reduce the burden of data gathering for specific use cases. Excellent performance on items not present in the training data showed that the method generalised well to any items with suitable features for vacuum picking without the need for use case-specific training data. ","Fast deployment of vacuum-based robotic bin picking, mtc is able to perform quick testing for suitability of method to customer use cases. Much lower investment and set up cost compared to traditional bin picking systems. Tested picking success rates suggest that this method is suitable for industrial applications. Mtc’s ability to create simulated training data allows for this technique to be adapted quickly to more difficult to pick parts. ","MTC"
"CARAPACE SLATE: Manufacturing process design to introduce automation to production of snap-fit roof tiles","https://www.the-mtc.org/case-studies/carapace-slate-manufacturing-process-design-to-introduce-automation-to-production-of-snap-fit-roof-tiles/","Carapace slate uses waste slate material to manufacture composite snap-fit roof tiles.  Its unique system, where tiles self-align and interlock without nails or screws, has been designed to significantly improve speed of installation, subsequently reducing resource levels, as well as production and labour costs. Initially each roof tile was being made by hand, so carapace slate wanted to introduce automation to the manufacturing process to significantly improve productivity and reduce the need for manual intervention, whilst still retaining the key components of the tile design. ","At the start of the project, the pmi and design and build teams at the mtc, in partnership with innovate uk, spent time onsite at carapace slate to understand the processes and potential challenges with implementing an automated manufacturing process. Upon understanding the technical specifications, the mtc created concepts specifically addressing the key areas of development with regards to both the machinery and the process, including:. Tile transportation and storage. Mould tool actuation. Process timings. Size and weight constraints. Tile transportation and storagemould tool actuationprocess timingssize and weight constraintsthe next phase of the project modelled the impact and feasibility of a different number of mould tool units and end effector variants to meet production targets and potential solutions to automate the clip insertion process a cad model animation was created to simulate robot movement and to help determine the position and height of the robot.  The tile design was reviewed throughout the project phases and the mould tool design updated accordingly.  A controls system architecture was also scoped out. ","None","None","MTC"
"MRT Castings - Factory re-design and new technologies to boost manufacturing productivity and agility","https://www.the-mtc.org/case-studies/mrt-castings-factory-re-design-and-new-technologies-to-boost-manufacturing-productivity-and-agility/","A privately owned family business, mrt castings has been operating from its base in andover, hampshire, for more than 50 years.  In 2019, in response to growing demand and a commitment to providing its customers with greater flexibility and productivity, the organisation began construction on a new, purpose-built 20,000ft² foundry. To support the delivery of the new facility, mrt castings approached the mtc to advise on the factory layout and equipment selection, technology solutions to introduce automation and robotic handling. ","An sme team from the mtc's manufacturing support services (mss) operation worked closely with managers and operators from mrt castings to help plan the layout for the new foundry.  3d modelling and visualisation were used based on data from existing and proposed equipment, which enabled visuals to be laid out within the architectural plans.  Workshops were then held using virtual reality technology to enable mrt castings' staff to view, adapt and optimise the layout before construction was completed. The mtc then provided a technology roadmap to support the introduction of automation and robotic loading solutions for the facility's cnc machining centres. 3d printing approaches were also developed for manufacturing bespoke grippers for the automated loading cells. ","Mrt castings' new foundry opened in march 2020.  Through the work of the mtc, staff were engaged throughout the facility design process, which helped to encourage internal buy-in and ease of adoption of new technologies. As an independent rto, the mtc were able to provide impartial advice to ensure the proposed solutions met the specific needs of the business; specifically, improved productivity and agility, and a first-class manufacturing environment utilising the latest technology. The project also resulted in knowledge transfer and skill development of mrt staff in new subject areas including robotics and design tools.  This was also supported by site visits to the mtc. The project delivery met the original objectives outlined by mrt castings, including budget, timescales, space utilisation, targeted productivity levels and support in futureproofing the business's activity moving forwards. Mrt castings are now exploring future projects with the mtc, including the potential development of in-house additive manufacturing capabilities. ","Increased manufacturing productivity and improved agility to respond to changing demands and new opportunities e. G.  Component parts for ventilators in response to covid-19 pandemic. Expansion of knowledge and skills amongst workforce. Speed of project implementation enhanced by support from the mtc and its network of partners, delivered within 16 weeks. Increased staff motivation from improved working environment and access to new technologies. ","MTC"
"Teleoperation With Haptic Feedback and Virtual Reality Training for Hazardous Environments","https://www.the-mtc.org/case-studies/teleoperation-with-haptic-feedback-and-virtual-reality-training-for-hazardous-environments/","The technologies utilised on the project can improve the safety of operations in hazardous environments, with the potential to remove the need for traditional manual glove box processes. Many industrial sectors, including the nuclear industry, are facing the challenge of manual labour-intensive operations in hazardous environments.  Operators are often required to wear full respiratory systems and can only work for a very limited time, with some operations being too dangerous for human intervention.  The development of scalable, human-controlled robotic applications, with immersive control has the potential to significantly increase the safety of potentially unsafe processes, and improve productivity. ","Working together with the nuclear industry, the mtc has developed a teleoperated robotic handling demonstrator, deployed in a glove box mock-up. Intuitive operator controls rely on multiple camera feeds and haptic control allows the user to feel grasping forces and the interaction between the robot and environment or assets. A virtual training simulator mode utilises the same control interface as the real system and provides a platform for operators to be trained in a de-risked, virtual environment. ","Evaluated and demonstrated the successful use of haptic teleoperation in hazardous and confined environments. Performed a comprehensive series of tests to evaluate different operator interface and control methods. Designed as a cost-effective option for industry that can be embedded into mature, bespoke configurations. A scalable solution that enables a wide range of operations in different processes from handling, to more complex assembly processes. This project has the potential to be embedded into an automated, or autonomous process due to its human shared autonomy. ","Innovative technology that can aid with future development and deployment, and can be further de-risked into an industrial application. Operators can perform complex operations from a safe, remote location. Using a de-risked virtual simulator, operators can receive training on new processes and environments. With a transferable capability, the technology knowledge and future development roadmap can be exploited when considering future development. This project has the potential to transform current processes, significantly improve safety, and increase productivity. ","MTC"
"Aerosol Generating Procedure (AGP) Shield","https://www.the-mtc.org/case-studies/aerosol-generating-procedure-agp-shield/","Funded by innovate uk, the primary aim of the project was to improve build quality and manufacturability.  This has involved engagement with new and existing supply chain partners to update designs and produce tooling that will allow a smooth increase to high volume production, should the demand arise. Identified as an opportunity to reduce the exposure our healthcare workers face when treating patients, the enhancement offers a number of benefits, including a substantial weight reduction, improved visual clarity, and improved ease of use. The development follows a successful round of trials and evaluation on the original production units that were created as part of a collaboration between the mtc, rolls-royce and dr ian renfrew, consultant interventional radiologist at barts alongside dr paolo perella, anaesthetic registrar at royal london hospital.  This project has also received support from the high value manufacturing catapult.  Original production unitshigh value manufacturing catapult. ","In collaboration with partners, an improvement has been made to the vacuum form tooling design, enabling production of robust shields with improved consistency in wall thickness, and better surface finish and optical clarity. At just under 4. 5kg the new units also offer a considerable reduction in weight.  This means the shield is more than 50 percent lighter than its original 9kg counterpart, making it easier and safer for healthcare professionals to handle.  The improved design allows the shields to be stacked on top of one another, reducing the amount of storage space required when the units are not in use, and reduces transport costs for distribution. The mtc has commissioned tooling to produce repeatable, highly accurate silicone parts for the shield access flaps with reduced cost per unit.  Significant work has also been carried out to design and develop an improved fastener that meets the requirements of a secure connection, ease of assembly, part-count reduction, and reduction in ‘dirt-traps’ which makes cleaning the interior of the shield easier. The mtc is preparing the first consignment of production quality shields ready for dispatch to hospital intensive care units (itu’s) and theatres, for the next round of clinical evaluations.  Medical professionals interested in the agp shield, and taking part in this evaluation, should contact the mtc by emailing covid19support@the-mtc. Org. Covid19support@the-mtc. Org. ","None","None","MTC"
"Flexible Automation Through Machine Learning (FATML)","https://www.the-mtc.org/case-studies/flexible-automation-through-machine-learning-fatml/","Most automation technology in industry is specifically programmed for a given task and cannot accept any input variation.  Changing the process even slightly can require major investment and this limits manufacturers ability to be flexible and agile. The challenge of this project was to show that through effective deployment of machine learning technology a low cost assembly system can be created to adapt reactively to the locations of input parts thus eliminating costly fixturing and potentially enabling future human-robot collaboration. ","An example product was created to mimic a typical electronic assembly comprising 5 unique components.  Mtc’s digital engineering team developed and trained a neural network model for object pose detection with all results and detection information stored in a database for retrieval and data analysis. Mtc’s automation and robotics engineers integrated the detection system into a physical demonstrator using the robot operating system (ros) comprising a franka emika collaborative robot and low cost vision sensors. ","An object pose detection system returned 98. 8% successful detections, with 96. 8% of detected object poses estimated within target tolerance. The system demonstrated a general approach to the application of machine learning.  It was possible to swap the input tray with little affect on performance. A robot system was developed able to successfully grasp parts and assemble the example product. The current demonstrator meets trl 6 - technology model or prototype demonstration in a relevant environment. ","A blueprint for developing and implementing intelligent vision systems to industrial problems in an effective manner; opening up potential applications in human-robot collaboration. Eliminated the need for part fixtures.  Robot system adapts to new layouts without re-programming. Traceable decision making allows any errors to be addressed effectively. As the system is “trained” for each set of parts, the demonstrated framework is applicable to any new assembly. ","MTC"
"Orthotic Research & Locomotor Assessment Unit (ORLAU)","https://www.the-mtc.org/case-studies/orthotic-research-locomotor-assessment-unit-orlau/","The orthotic research & locomotor assessment unit (orlau) based at the robert jones and agnes hunt orthopaedic hospital nhs foundation trust, oswestry, approached the mtc’s product manufacturing incubator (pmi) to see if the mtc could support in the design and production of a new standing frame for patients with cerebral palsy.  Pmi, along with the mtc’s design and build team, took up the challenge. The frames, which help individuals to stand supported for periods of time, are used to aid rehabilitation, and can bring about important health benefits that can’t be achieved in seated positions.  However, the current standing frames have a number of limitations.  Each frame is bespoke to the user, with limited ability to re-adapt for another patient; consequently, the product lifespan is relatively short and therefore less cost effective.  The cost to manufacture is also a factor to address, as is the ease of use by a medical professional and/or carer to support patients getting in and out of the frame.  A lot of standing frame users are also children, and anecdotal feedback is that the frames look ‘intimidating’ and ‘too industrial’, and that once in the frames, patients are unable to carry out activities that would help distract and entertain whilst standing e. G.  Arts and crafts, playing with toys, baking etc.  In working with the mtc, orlau set out a series of objectives for the new design concept:. Greater comfort and more aesthetically pleasing for the user. Improved ease of use for medical professionals / carers. Reduced production cost to support low volume manufacture. Improved ease of assembly. Greater comfort and more aesthetically pleasing for the userimproved ease of use for medical professionals / carersreduced production cost to support low volume manufactureimproved ease of assembly","The process all started with a discovery workshop to define the requirements of what was needed to start addressing these challenges. Central to this was understanding how medical professionals and patients would like to use the frame, which would then inform the next phase, concept generation. Following agreement of the project scope, the design and build team came up with a series of design concepts, each addressing key specifications identified from the discovery workshop. These concepts were shared with the orlau team, who identified their preferred concept to take forwards to prototype.  Aluminium extrusion concept with modular design key benefits: infinite adjustability and modularity, enabling simple assembly and set-up for each patient. ","None","None","MTC"
"Build Test Solutions - Pulse","https://www.the-mtc.org/case-studies/build-test-solutions-pulse/","Build test solutions (bts) commissioned the mtc's product manufacturing incubator (pmi) team to help support in advancing the pulse product to the next stages of commercialisation. Pulse is an innovative air leakage measurement system used to rapidly measure the air permeability of a building or enclosure at a near ambient pressure level. Based on user feedback it was discovered that the overall portability, ergonomics and weight needed to be improved upon.  It was vital for operatives to be able to carry the equipment with ease across construction sites, up flights of stairs and easily deployed in occupied buildings. Bts also briefed the mtc to improve the buildability of the unit, ensuring that the product can be produced cost effectively at volume within the uk. ","Drawing on established product design processes, manufacturing know-how and market access via its role in the construction innovation hub, the mtc carried out the three following following stages:. Stage 1: concept generation. Stage 2: concept development and refinement. Stage 3: concept embodiment and build of first functional mk2 prototype. Drawing on established product design processes, manufacturing know-how and market access via its role in the construction innovation hub, the mtc carried out the three following following stages:. Stage 1: concept generation. Stage 2: concept development and refinement. Stage 3: concept embodiment and build of first functional mk2 prototype. Stage 1: concept generation. Stage 2: concept development and refinement. Stage 3: concept embodiment and build of first functional mk2 prototype. Stage 1: concept generationstage 2: concept development and refinementstage 3: concept embodiment and build of first functional mk2 prototype","A more compact model has been created with a portable air receiver unit which has straps for carrying on your back or over the shoulder.  This is then paired with a small control module which is stored within a pocket on the air receiver unit alongside other cable ancillaries leaving both hands free to carry the portable compressor unit required for charging the air receiver when on site. Ensured the commercial viability of the product with uk based production. A more compact model has been created with a portable air receiver unit which has straps for carrying on your back or over the shoulder.  This is then paired with a small control module which is stored within a pocket on the air receiver unit alongside other cable ancillaries leaving both hands free to carry the portable compressor unit required for charging the air receiver when on site. Ensured the commercial viability of the product with uk based production. A more compact model has been created with a portable air receiver unit which has straps for carrying on your back or over the shoulder.  This is then paired with a small control module which is stored within a pocket on the air receiver unit alongside other cable ancillaries leaving both hands free to carry the portable compressor unit required for charging the air receiver when on site. Ensured the commercial viability of the product with uk based production. ","Reduction in production costs by around 27%. Improved portability with a reduction in weight of 7kgs. Commercial viability for uk based production . Reduction in production costs by around 27%. Improved portability with a reduction in weight of 7kgs. Commercial viability for uk based production . Reduction in production costs by around 27%improved portability with a reduction in weight of 7kgscommercial viability for uk based production","MTC"
"Concrete Reinforcement Structure of the Future","https://www.the-mtc.org/case-studies/concrete-reinforcement-structure-of-the-future/","The current rebar manufacturing and assembly process can be imprecise and highly variable due to the heavy reliance on worker skill and experience.  This makes it difficult to achieve reliable and repeatable quality, particularly as the quality is directly linked to the capability of the worker.  Furthermore the reliance on skilled workers can be time-consuming and costly when scheduling of labour and materials goes wrong.  Rebar also presents significant health and safety concerns – osha (occupational safety and health administration) reviewed their incident database to reveal that 61% of construction accidents are related to rebar impalement. ","None","None","None","MTC"
"Raybloc. Ltd: Halving Lead Times and Creating New Sales","https://www.the-mtc.org/case-studies/raybloc-ltd-halving-lead-times-and-creating-new-sales/","Willenhall based sme, raybloc (x-ray protection) ltd is a major manufacturer and installer of high quality radiation protection products.  As the raybloc order book grew, their lead-times lengthened which in-turn inhibited the growth of the business - £500k of potential sales were lost, last year alone, due to uncompetititve lead times.  The management identified that if they could become more responsive the company could double or treble its turnover.  They identified areas that needed to change but were unsure how. Common goals, but no common strategy. Experienced in what they do, but reliant on traditional/ad-hoc and informal methods of control and communications. Silo'd team members and operations. Lack of ownership. An opportunity to grow and appreciation of the need for outside support knowledge and experience to help. Common goals, but no common strategy. Experienced in what they do, but reliant on traditional/ad-hoc and informal methods of control and communications. Silo'd team members and operations. Lack of ownership. An opportunity to grow and appreciation of the need for outside support knowledge and experience to help. ","None","None","50% reduction in lead time going from 16 weeks to 8 weeks. Achieved iso9001 and iso14001 accreditation 9 months ahead of schedule. Reduced production costs by 10%. Sample supply-chain assessment have led to a 50% cost reduction for a key/critical part, reduction in lead-time, reduction in inventory, dual-sourcing and a more resilient supply-chain. The culture has developed into a can do attitude. In the efforts to respond to the covid-19 crisis, raybloc manufactured and supplied doors, lead-lining and x-ray screens for the x-ray theatres at birmingham's nightingale hospital.  Cutting the manufacturing time from 8 weeks to 16 hours.  The full team effort continued x-ray installation, and the team had everything fully fitted in less than 5 hours.  . 50% reduction in lead time going from 16 weeks to 8 weeks. Achieved iso9001 and iso14001 accreditation 9 months ahead of schedule. Reduced production costs by 10%. Sample supply-chain assessment have led to a 50% cost reduction for a key/critical part, reduction in lead-time, reduction in inventory, dual-sourcing and a more resilient supply-chain. The culture has developed into a can do attitude. In the efforts to respond to the covid-19 crisis, raybloc manufactured and supplied doors, lead-lining and x-ray screens for the x-ray theatres at birmingham's nightingale hospital.  Cutting the manufacturing time from 8 weeks to 16 hours.  The full team effort continued x-ray installation, and the team had everything fully fitted in less than 5 hours.  . 50% reduction in lead time going from 16 weeks to 8 weeksachieved iso9001 and iso14001 accreditation 9 months ahead of schedulereduced production costs by 10%sample supply-chain assessment have led to a 50% cost reduction for a key/critical part, reduction in lead-time, reduction in inventory, dual-sourcing and a more resilient supply-chain. The culture has developed into a can do attitude. In the efforts to respond to the covid-19 crisis, raybloc manufactured and supplied doors, lead-lining and x-ray screens for the x-ray theatres at birmingham's nightingale hospital.  Cutting the manufacturing time from 8 weeks to 16 hours.  The full team effort continued x-ray installation, and the team had everything fully fitted in less than 5 hours. ","MTC"
"Albert Jagger: Re-shoring A Product Range From China To The UK","https://www.the-mtc.org/case-studies/albert-jagger-re-shoring-a-product-range-from-china-to-the-uk/","Over the last 130 years, albert jagger has been associated with innovation, excellent service and the highest quality products for vehicles of all types which has seen them grow into a market-leading vehicle hardware supplier. Albert jagger approached the mtc to help re-shore a product range, that a competitive market place had led them to purchase from china, to their uk engineering facility.  Inspired by the potential, they chose to revolutionise their factory and create a modern, dynamic british engineering company. ","The mtc created a project plan to evaluate the financial, performance, technology and training needs to: profitably re-shore products, optimise the factory layout and introduce new technology into the workshop.  . during the five month project, we assembled a team of 11 mtc engineers (around £500k per year of talent) to create a bespoke solution and approach that suited the needs of their company and be on-hand to provide the support that they needed when required.  The mtc used virtual reality (vr) and augmented reality (ar) technology to help the albert jagger workforce immerse themselves into the potential future-state which helped devise the best factory layout working together as a team.   . the mtc created a project plan to evaluate the financial, performance, technology and training needs to: profitably re-shore products, optimise the factory layout and introduce new technology into the workshop.  During the five month project, we assembled a team of 11 mtc engineers (around £500k per year of talent) to create a bespoke solution and approach that suited the needs of their company and be on-hand to provide the support that they needed when required.  The mtc used virtual reality (vr) and augmented reality (ar) technology to help the albert jagger workforce immerse themselves into the potential future-state which helped devise the best factory layout working together as a team. ","As albert jagger continue to re-shore product, they have been able to produce the product range for 20% - 50% less than the cost of purchasing from overseas. By re-shoring product, albert jagger now have the opportunity to reduce their stock-holding costs by 50% from £120k to £60k. The optimised factory layout allows for growth and has been designed with the aspirations to adopt more new technologies. Introduction of new technology - cnc machines and automation. As albert jagger continue to re-shore product, they have been able to produce the product range for 20% - 50% less than the cost of purchasing from overseas. By re-shoring product, albert jagger now have the opportunity to reduce their stock-holding costs by 50% from £120k to £60k. The optimised factory layout allows for growth and has been designed with the aspirations to adopt more new technologies. Introduction of new technology - cnc machines and automation. As albert jagger continue to re-shore product, they have been able to produce the product range for 20% - 50% less than the cost of purchasing from overseas. By re-shoring product, albert jagger now have the opportunity to reduce their stock-holding costs by 50% from £120k to £60k. The optimised factory layout allows for growth and has been designed with the aspirations to adopt more new technologies. Introduction of new technology - cnc machines and automation. ","Albert jagger workforce are now proficient in problem solving techniques. Resilience of supply chain. Product range cost analysis. Reduced production costs. Increased productivity. Albert jagger workforce are now proficient in problem solving techniques. Resilience of supply chain. Product range cost analysis. Reduced production costs. Increased productivity. Albert jagger workforce are now proficient in problem solving techniques. Resilience of supply chainproduct range cost analysisreduced production costsincreased productivity","MTC"
"Cascade: creating a UK-based supply chain for powders for Net-Shape and Additive Manufacturing","https://www.the-mtc.org/case-studies/cascade-creating-a-uk-based-supply-chain-for-powders-for-net-shape-and-additive-manufacturing/","Metal powders are widely used within net-shape and additive manufacturing (ns&am) processes for sectors such as aerospace and automotive.  As metal powders are primarily produced in sweden and the usa, a uk based supply chain is needed to service growing market demand. Liberty speciality steels (lss), an experienced manufacturer of highly engineered steels, decided to expand its capabilities into steel and nickel powder production and sought the mtc’s support to achieve this ambition. ","Through the cascade programme, lss and the mtc have worked collaboratively with seven other partners to develop a range of technologies across the metal powder supply chain. Supported by finance birmingham via an amsci fund, cascade has enabled lss to establish its first powder production facility, which currently has the capacity to take new orders for delivery in june – july 2020. The mtc has supported lss in developing powders by providing access to world-leading capabilities, including state-of-the-art powder characterisation labs, industrial-scale hot-isostatic pressing (hip) and metal injection moulding (mim) facilities. ","Successful completion of the project has enabled liberty to acquire a vacuum induction melting gas atomiser with an anti-satellite system, capable of producing highly spherical steel and nickel powders with minimum amount of satellites and improved flow ability, making them ideal powders for am. Lpm has also developed the capability to handle and package powders under inert atmosphere to reduce moisture and improve powder performance. Successful completion of the project has enabled liberty to acquire a vacuum induction melting gas atomiser with an anti-satellite system, capable of producing highly spherical steel and nickel powders with minimum amount of satellites and improved flow ability, making them ideal powders for am. Lpm has also developed the capability to handle and package powders under inert atmosphere to reduce moisture and improve powder performance. ","Lss has established a new business, liberty powder metals (lpm), as a uk-based powder metal supplier and innovation incubator supported by the tees valley combined authority. Up to 50 jobs are planned to be created as a result of the project. Lss has established a new business, liberty powder metals (lpm), as a uk-based powder metal supplier and innovation incubator supported by the tees valley combined authority. Up to 50 jobs are planned to be created as a result of the project. ","MTC"
